event_id,event_date,event_name,event_type,event_category,event_description,event_location,event_severity,source_dataset
30,2025-06-10,OPEC+ announces additional production cuts,opec,Opec,OPEC+ announces additional production cuts,,8.0,geopolitical_events_timeline
31,2025-10-28,World Bank warns of major 2026 oil glut,market_shift,Market_Shift,World Bank warns of major 2026 oil glut,,7.0,geopolitical_events_timeline
32,2025-11-18,Expanded Iran oil sanctions,sanctions,Sanctions,Expanded Iran oil sanctions,,7.0,geopolitical_events_timeline
33,2025-12-01,Protests,political,Political,Widespread economic protests erupt across Iran — soaring prices & plummeting rial,Iran,,war_timeline
34,2025-12-15,Internet Shutdown,political,Political,Iran government shuts down internet amid crackdown on protests,Iran,,war_timeline
35,2026-01-10,US Military Buildup,military,Military,US bolsters military presence off Iran's coast; Trump says 'help is on the way',USA / Iran,,war_timeline
36,2026-02-01,Geneva Talks Begin,diplomatic,Diplomatic,"Indirect US-Iran nuclear negotiations begin in Geneva, mediated by Oman",Switzerland,,war_timeline
37,2026-02-25,Talks Collapse,diplomatic,Diplomatic,Geneva nuclear negotiations end without breakthrough,Switzerland,,war_timeline
38,2026-02-28,Military Strikes Begin,military,Military,US-Israeli military strikes commence against Iran; Supreme Leader Khamenei assassinated,Iran,,war_timeline
39,2026-02-28,US-Israel strikes on Iranian infrastructure,conflict,Conflict,US-Israel strikes on Iranian infrastructure,,10.0,geopolitical_events_timeline
40,2026-03-01,Mojtaba Khamenei,political,Political,Mojtaba Khamenei selected as new Supreme Leader of Iran,Iran,,war_timeline
41,2026-03-01,OPEC+ extends voluntary production cuts,opec,Opec,OPEC+ extends voluntary production cuts,,8.0,geopolitical_events_timeline
42,2026-03-01,Strait of Hormuz Closed,military_energy,Military/Energy,Iran retaliates by closing Strait of Hormuz — 20% of world oil supply disrupted,Strait of Hormuz,,war_timeline
43,2026-03-02,Oil Spikes,economic,Economic,Brent crude surges past $85/barrel; WTI jumps above $81,Global,,war_timeline
44,2026-03-03,Risk Premium,economic,Economic,Goldman Sachs: traders demand additional $14/barrel risk premium,Global,,war_timeline
45,2026-03-04,Qatar Gas Halt,energy,Energy,Qatar halts natural gas production after drone strikes on facilities,Qatar,,war_timeline
46,2026-03-05,Bahrain Force Majeure,energy,Energy,Bahrain declares force majeure on oil shipments after Iranian attack,Bahrain,,war_timeline
47,2026-03-05,Production Cuts,energy,Energy,"Iraq, Kuwait, UAE cut oil production — storage facilities filling up",Middle East,,war_timeline
48,2026-03-06,Europe Gas Surge,economic,Economic,European natural gas prices surge nearly 67% since conflict began,Europe,,war_timeline
49,2026-03-07,Bangladesh Closures,social,Social,Bangladesh closes universities to conserve electricity amid fuel crisis,Bangladesh,,war_timeline
50,2026-03-07,Pakistan Price Hike,economic,Economic,Pakistan petrol price jumps 20.66% to PKR 321.17/L — largest single increase,Pakistan,,war_timeline
51,2026-03-08,US Gas $3.41,economic,Economic,US national average gasoline reaches $3.41/gallon — up 14% in one week,USA,,war_timeline
52,2026-03-09,$150 Warning,economic,Economic,Analysts warn oil could reach $150-$200/barrel if conflict persists,Global,,war_timeline
53,2026-03-09,Brent $104,economic,Economic,Brent crude hits $104.25/barrel — highest since 2022; WTI at $102.88,Global,,war_timeline
54,2026-03-09,Closure of Strait of Hormuz shipping lane,blockade,Blockade,Closure of Strait of Hormuz shipping lane,,10.0,geopolitical_events_timeline
55,2026-03-09,Stock Crashes,economic,Economic,"Japan Nikkei -5%, South Korea KOSPI -6%, global markets tumble",Global,,war_timeline
